,Date,CapMrktCurUSD,PriceUSD,Number of Coins
498,12/12/2018,1688471738.0,96.44587403,17506935.93667669
499,12/13/2018,1519161537.0,86.76610324,17508698.446418785
500,12/14/2018,1393937322.0,79.60586172,17510485.935105335
501,12/15/2018,1332088226.0,76.06597914,17512273.43762028
502,12/16/2018,1383047763.0,78.96796421,17514035.936421666
503,12/17/2018,1542342076.0,88.05371187,17515923.44314877
504,12/18/2018,1823155420.0,104.07431190000001,17517823.435160276
505,12/19/2018,2260503585.0,129.0249252,17519898.43432205
506,12/20/2018,3304613531.0,188.5999993,17521810.939900678
507,12/21/2018,3347624648.0,191.0359107,17523535.945328422
508,12/22/2018,3409825371.0,194.5660335,17525285.938462634
509,12/23/2018,3427079193.0,195.530461,17527085.935730495
510,12/24/2018,3195465949.0,182.29793,17528810.93603202
511,12/25/2018,2950685613.0,168.3153482,17530698.445241373
512,12/26/2018,3041378246.0,173.4711452,17532473.441006605
513,12/27/2018,2574170126.0,146.809171,17534123.43701607
514,12/28/2018,2980357949.0,169.9544992,17536210.944864474
515,12/29/2018,2912840711.0,166.08764519999997,17537973.444637652
516,12/30/2018,2831610677.0,161.43975519999998,17539735.94355401
517,12/31/2018,2603903365.0,148.4438457,17541335.935626466
518,1/1/2019,2858007199.0,162.9127825,17543173.440058336
519,1/2/2019,2993905622.0,170.64105759999998,17545048.44325344
520,1/3/2019,2798630529.0,159.49601830000003,17546710.93880216
521,1/4/2019,2798989972.0,159.5007092,17548448.442886297
522,1/5/2019,2777378792.0,158.2519471,17550360.94592229
523,1/6/2019,2891363706.0,164.72931619999997,17552210.940337773
524,1/7/2019,2797831140.0,159.3854,17553873.44135661
525,1/8/2019,2804053386.0,159.7228051,17555748.437077757
526,1/9/2019,2787524181.0,158.7654523,17557498.439476307
527,1/10/2019,2333645231.0,132.9009186,17559285.937095094
528,1/11/2019,2261239808.0,128.7646939,17561023.44137984
529,1/12/2019,2334037015.0,132.89560600000002,17562935.940861728
530,1/13/2019,2174166745.0,123.7813575,17564573.44556106
531,1/14/2019,2327126991.0,132.4754794,17566473.44504722
532,1/15/2019,2219995812.0,126.3641848,17568235.93262321
533,1/16/2019,2238227660.0,127.3896312,17569935.943106804
534,1/17/2019,2277628621.0,129.6180438,17571848.44198366
535,1/18/2019,2226069240.0,126.6707744,17573660.937530354
536,1/19/2019,2261399266.0,128.6668938,17575610.93776867
537,1/20/2019,2145611694.0,122.0672051,17577298.441807285
538,1/21/2019,2135945253.0,121.5043051,17579173.439509675
539,1/22/2019,2234701790.0,127.11073119999999,17580748.445887316
540,1/23/2019,2304750785.0,131.0811662,17582623.437172316
541,1/24/2019,2253905815.0,128.1775461,17584248.43959468
542,1/25/2019,2224814882.0,126.5095919,17586135.94895329
543,1/26/2019,2202711405.0,125.23954769999999,17587985.947349444
544,1/27/2019,2126232429.0,120.87872620000002,17589798.435516603
545,1/28/2019,1954605840.0,111.1106634,17591523.44328456
546,1/29/2019,1919986162.0,109.13128929999999,17593360.935395822
547,1/30/2019,2056532489.0,116.8806558,17595148.443717066
548,1/31/2019,1987281936.0,112.9334075,17596935.92881274
549,2/1/2019,2021026107.0,114.8389505,17598785.936309997
550,2/2/2019,2108324393.0,119.7870857,17600598.434126526
551,2/3/2019,2058154539.0,116.9250801,17602335.933742926
552,2/4/2019,2059853116.0,117.0091135,17604210.940372605
553,2/5/2019,2043360663.0,116.06031709999999,17606023.43727355
554,2/6/2019,1998625397.0,113.50804720000001,17607785.935022235
555,2/7/2019,2006524321.0,113.9458926,17609448.442725174
556,2/8/2019,2250180416.0,127.7685936,17611373.4416186
557,2/9/2019,2226210929.0,126.39456240000001,17613185.93718237
558,2/10/2019,2218421303.0,125.9393414,17614998.44559295
559,2/11/2019,2127021711.0,120.73878090000001,17616723.435046706
560,2/12/2019,2133412728.0,121.08953340000001,17618473.439422797
561,2/13/2019,2129437707.0,120.85088400000001,17620373.443027522
562,2/14/2019,2115372109.0,120.0404489,17622160.933121935
563,2/15/2019,2114129824.0,119.9579555,17623923.442076337
564,2/16/2019,2121739048.0,120.3780993,17625623.43431186
565,2/17/2019,2168665578.0,123.0277647,17627448.432378124
566,2/18/2019,2509561544.0,142.3516525,17629310.934764177
567,2/19/2019,2488731937.0,141.15510700000002,17631185.93364107
568,2/20/2019,2557101992.0,145.0180928,17632985.94422006
569,2/21/2019,2466267245.0,139.852307,17634798.43775477
570,2/22/2019,2519771961.0,142.8720696,17636560.93213057
571,2/23/2019,2650884302.0,150.2904264,17638410.945382744
572,2/24/2019,2260314246.0,128.1340144,17640235.9403484
573,2/25/2019,2357315656.0,133.6193473,17642023.431736972
574,2/26/2019,2318493004.0,131.4056412,17643785.935120113
575,2/27/2019,2300808181.0,130.3906596,17645498.44335629
576,2/28/2019,2283138926.0,129.3764823,17647248.444317922
577,3/1/2019,2307702322.0,130.7553341,17649010.940043937
578,3/2/2019,2295466986.0,130.0483511,17650873.437333416
579,3/3/2019,2274820172.0,128.86511140000002,17652723.435274195
580,3/4/2019,2167521677.0,122.7742085,17654535.944330685
581,3/5/2019,2310054494.0,130.8348638,17656260.930047303
582,3/6/2019,2313095534.0,130.99355970000002,17658085.93412856
583,3/7/2019,2295142841.0,129.96371969999998,17659873.43466286
584,3/8/2019,2241359882.0,126.90484620000001,17661735.931405272
585,3/9/2019,2337789664.0,132.35070259999998,17663598.440164234
586,3/10/2019,2310328904.0,130.7827226,17665398.441552248
587,3/11/2019,2259474880.0,127.890774,17667223.43865086
588,3/12/2019,2254422975.0,127.59227790000001,17668960.944226544
589,3/13/2019,2250329542.0,127.3480813,17670698.443416595
590,3/14/2019,2318803896.0,131.2102024,17672435.935515333
591,3/15/2019,2527757074.0,143.0191102,17674260.946422808
592,3/16/2019,2740164388.0,155.0202252,17676173.44423778
593,3/17/2019,2711996332.0,153.4095237,17678148.439489614
594,3/18/2019,2826029687.0,159.8455825,17679748.43471198
595,3/19/2019,2817287794.0,159.3349024,17681548.433923036
596,3/20/2019,2792291101.0,157.9048879,17683373.44166532
597,3/21/2019,2694434714.0,152.3565411,17685060.94025523
598,3/22/2019,2765453669.0,156.3556132,17686948.44017279
599,3/23/2019,2920524175.0,165.1058541,17688798.44339814
600,3/24/2019,2892724614.0,163.51727680000002,17690635.941412643
601,3/25/2019,2818509513.0,159.3068051,17692335.937757127
602,3/26/2019,2803044711.0,158.4178229,17693998.438353743
603,3/27/2019,3028180775.0,171.1213794,17696098.439702034
604,3/28/2019,2961010535.0,167.30859569999998,17697898.44097054
605,3/29/2019,3007401803.0,169.9130812,17699648.44237078
606,3/30/2019,2947162256.0,166.4924825,17701473.43439365
607,3/31/2019,2981620515.0,168.4236534,17703098.435460016
608,4/1/2019,2961729672.0,167.2831829,17704885.934472494
609,4/2/2019,4233983963.0,239.11460269999998,17706923.43834842
610,4/3/2019,5249734089.0,296.4471582,17708835.93850555
611,4/4/2019,5097468827.0,287.8202476,17710598.436021913
612,4/5/2019,5198649371.0,293.505483,17712273.439879823
613,4/6/2019,5417271782.0,305.8143731,17714248.441254836
614,4/7/2019,5691584846.0,321.2674023,17716035.94156493
615,4/8/2019,5479481842.0,309.2609883,17717985.938415885
616,4/9/2019,5236152844.0,295.50023230000005,17719623.44409974
617,4/10/2019,5398103076.0,304.6099616,17721360.941860937
618,4/11/2019,4832664080.0,272.67737389999996,17723010.937358893
619,4/12/2019,5020416208.0,283.240302,17724935.937965497
620,4/13/2019,4942862884.0,278.8356229,17726798.436269674
621,4/14/2019,5114655987.0,288.4966671,17728648.439557657
622,4/15/2019,5559910083.0,313.57823039999994,17730535.93646404
623,4/16/2019,5632832673.0,317.660598,17732235.94133006
624,4/17/2019,5486563429.0,309.38128900000004,17733985.939272493
625,4/18/2019,5428048697.0,306.05064330000005,17735785.942064703
626,4/19/2019,5433060254.0,306.3014767,17737623.44385067
627,4/20/2019,5320675356.0,299.93676899999997,17739323.43720086
628,4/21/2019,5142936649.0,289.88563250000004,17741260.940208893
629,4/22/2019,5199316571.0,293.03503870000003,17742985.938015744
630,4/23/2019,5154687166.0,290.4935164,17744585.93734039
631,4/24/2019,4922629720.0,277.38538589999996,17746535.93962104
632,4/25/2019,4671735018.0,263.2224991,17748235.93717639
633,4/26/2019,4586282882.0,258.3796095,17750173.440060098
634,4/27/2019,4604629919.0,259.3889407,17751835.936311375
635,4/28/2019,4419159339.0,248.9159103,17753623.437223893
636,4/29/2019,4110841855.0,231.5256565,17755448.433422323
637,4/30/2019,4674097490.0,263.2204637,17757348.438255183
638,5/1/2019,4746666372.0,267.2823239,17758998.43558641
639,5/2/2019,4709511628.0,265.1644031,17760723.433997013
640,5/3/2019,5109584869.0,287.6599662,17762585.932612825
641,5/4/2019,5113017692.0,287.824263,17764373.436439585
642,5/5/2019,5178118950.0,291.4569786,17766323.43776036
643,5/6/2019,5085502110.0,286.21452189999997,17768148.437195007
644,5/7/2019,5090262779.0,286.45383849999996,17769923.439165227
645,5/8/2019,5039557872.0,283.57369710000006,17771598.43644751
646,5/9/2019,5020836397.0,282.4922318,17773360.93459261
647,5/10/2019,5081351707.0,285.8697208,17775060.936079383
648,5/11/2019,6552374535.0,368.5864482,17777035.93552792
649,5/12/2019,6284352572.0,353.4750355,17778773.43759401
650,5/13/2019,6811744535.0,383.10173199999997,17780510.934886612
651,5/14/2019,6921166300.0,389.219094,17782185.937671393
652,5/15/2019,7226501494.0,406.34823719999997,17784010.93553458
653,5/16/2019,7061855876.0,397.04886380000005,17785860.9351346
654,5/17/2019,6505806336.0,365.7480198,17787673.435819376
655,5/18/2019,6381554002.0,358.7249013,17789548.422408335
656,5/19/2019,7494050228.0,421.21730870000005,17791410.925464656
657,5/20/2019,7371734236.0,414.30242789999994,17793123.42765057
658,5/21/2019,7454495813.0,418.911962,17794898.42545962
659,5/22/2019,6966494858.0,391.4476224,17796748.426488847
660,5/23/2019,7202326151.0,404.6560748,17798635.926965207
661,5/24/2019,7265188251.0,408.147221,17800410.923292797
662,5/25/2019,7228372979.0,406.040787,17802085.924436945
663,5/26/2019,7721110244.0,433.6761715,17803860.925294116
664,5/27/2019,7864445475.0,441.6823115,17805660.924684778
665,5/28/2019,7714279374.0,433.20490250000006,17807460.925491255
666,5/29/2019,8092892989.0,454.41729569999995,17809385.922543794
667,5/30/2019,7522304552.0,422.3333062,17811298.426077105
668,5/31/2019,7891246784.0,443.0015477,17813135.924626477
669,6/1/2019,7707774037.0,432.66191789999993,17814773.4249666
670,6/2/2019,7893026845.0,443.0159861000001,17816573.425452735
671,6/3/2019,7216211477.0,404.9896624,17818260.92605963
672,6/4/2019,6798617461.0,381.5105452,17820260.924730003
673,6/5/2019,7090334726.0,397.84061610000003,17822048.4260908
674,6/6/2019,7041727622.0,395.0741877,17823810.92268965
675,6/7/2019,7150684259.0,401.1466585,17825610.92678278
676,6/8/2019,7035718697.0,394.65679339999997,17827435.925748847
677,6/9/2019,6767431726.0,379.56962930000003,17829223.424646635
678,6/10/2019,7017639610.0,393.562927,17831048.42596112
679,6/11/2019,6937982678.0,389.0587909,17832735.92649208
